"filename", "language", "JSON", "Properties", "XML", "YAML", "JSON with Comments", "MS SQL", "JavaScript", "TypeScript", "Markdown", "HTML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"/workspaces/BossOS/src/store/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/workspaces/BossOS/src/ui/BottomNav.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 6, 7, 92
"/workspaces/BossOS/src/ui/DashboardKpiCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 6, 55
"/workspaces/BossOS/src/ui/GlassCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 5, 11, 77
"/workspaces/BossOS/src/ui/Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"/workspaces/BossOS/src/ui/PageHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 5, 3, 60
"/workspaces/BossOS/src/ui/UiSelect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 5, 10, 167
"/workspaces/BossOS/src/ui/UserMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 556, 21, 31, 608
"/workspaces/BossOS/src/ui/ViewToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 4, 3, 56
"/workspaces/BossOS/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/workspaces/BossOS/tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/workspaces/BossOS/tsconfig.app.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/workspaces/BossOS/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/workspaces/BossOS/tsconfig.node.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"/workspaces/BossOS/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 100, 2, 2, 3604, 23, 284, 27, 230, 138, 14, 415, 3463, 260, 1454, 10016
